course_title,subject_catalog,instructors,year_term,term_type,start_date,end_date,start_time,end_time,weekdays,class_number,course_id,consent,enrolled,waitlist,lecture_sunday,lecture_monday,lecture_tuesday,lecture_wednesday,lecture_thursday,lecture_friday,lecture_saturday,description,notes,school,units,cross_registration,department,course_component,instruction_mode,grading_basis,course_requirements,general_education,quantitative_reasoning,divisional_distribution
Experimental Research in the Life Sciences,LIFESCI  100R,Alain Viel,2026 Spring,Full Term,2026-01-26,2026-04-29,3:00pm,5:45pm,Mon,12571,119061,Instructor,0,0,False,True,False,False,False,False,False,"A laboratory course that immerses students in a dynamic project-based research environment. Participate in experimental projects directly linked with ongoing faculty research. Students select a project from the following research tracks: neurobiology, microbial sciences, cell biology, and synthetic biology. New projects, including some in other research fields, are offered every term. In a highly collaborative atmosphere, students form a fully-functional and diverse research group based on the sharing of ideas and progress reports between projects. The spring microbiology project is part of the ""genomes to Biomes"" series. This course cannot be taken concurrently with LifeSci 100.","Location of the first meeting will be announced on the course website. Open to freshmen, sophomores, juniors, and seniors, regardless of concentration, and suitable for students either with or without extensive laboratory experience. The course may only be repeated once and the second enrollment must be approved by the instructor.",Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Molecular & Cellular Biology,Lecture,N/A,FAS Letter Graded,Prerequisite: LPS A OR LS 1a,N/A,N/A,Science & Engineering & Applied Science
Graduate Student Workshop in Public Economics and Fiscal Policy,ECON 3007,David Cutler,2026 Spring,Full Term,2026-01-26,2026-04-29,1:30pm,2:45pm,Tue,11984,119562,No Consent,0,0,False,False,True,False,False,False,False,Participants discuss recent research in public economics and fiscal policy and present their own work in progress. Open to doctoral students in economics who have passed their oral examinations.,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Economics,Seminar,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Akkadian Language and Literature,AKKAD  300,,2026 Spring,Full Term,2026-01-26,2026-04-29,,,,11820,111348,Instructor,0,0,False,False,False,False,False,False,False,,,Faculty of Arts & Sciences,4,Not Available for Cross Registration,Near Eastern Languages & Civ,Reading Course,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Advanced Topics in Gene Expression,GENETIC  216,"Fred Winston, Scott Kennedy, Stephen Buratowski",2026 Spring,Full Term,2026-01-26,2026-04-29,2:00pm,5:00pm,Tue,12980,111358,Instructor,0/16,0,False,False,True,False,False,False,False,"This course covers different topics in gene regulation, covering genetic, genomic, biochemical, and molecular approaches. A small number of topics are discussed in depth, using the primary literature. Topics range from prokaryotic transcription to eukaryotic development.",,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Medical Sciences,Lecture,N/A,FAS Letter Graded,N/A,N/A,N/A,None
Supervised Reading and Research,ITAL   91R,Ambrogio Camozzi Pistoja,2026 Spring,Full Term,2026-01-26,2026-04-29,,,,12194,111393,Instructor,0/9999,0,False,False,False,False,False,False,False,Tutorial supervision of research on subjects not treated in regular courses.,"Limited to juniors and seniors. Students wishing to enroll must petition the Undergraduate Adviser in Italian for approval, stating the proposed project, and must have the consent of the proposed instructor. Ordinarily, students are required to have taken some course work in the area as background for their project. May not be taken more than twice, and only once for concentration credit.  This course is taught by members of the Department.",Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Romance Languages & Lit,Tutorial,N/A,FAS Letter Graded,N/A,N/A,N/A,Arts and Humanities
Riemann Surfaces,MATH  213BR,Curtis McMullen,2026 Spring,Full Term,2026-01-26,2026-04-29,12:00pm,1:15pm,Tue Thu,11666,111824,No Consent,0,0,False,False,True,False,True,False,False,"Fundamentals of algebraic curves as complex manifolds of dimension one.  Topics may include branched coverings, sheaves and cohomology, potential theory, uniformization and moduli.",,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Mathematics,Lecture,N/A,FAS Letter Graded,N/A,N/A,N/A,Science & Engineering & Applied Science
Introduction to Physical Oceanography and Climate,E-PSCI  131,Eli Tziperman,2026 Spring,Full Term,2026-01-26,2026-04-29,10:30am,11:45am,Tue Thu,15520,111361,No Consent,0,0,False,False,True,False,True,False,False,"Observations and fundamentals of ocean dynamics, from the role of the oceans in climate change to beach waves. Topics include the greenhouse effect and the role of the oceans in global warming; El Niño events in the equatorial Pacific Ocean; the wind-driven ocean circulation and the Gulf Stream; coastal upwelling and fisheries; temperature, salinity, the overturning ocean circulation and its effect on global climate stability and variability; wave motions: surface ocean waves, internal waves, tsunamis, and tides; ocean observations by ships, satellites, moorings, floats and more. A field trip to the Woods Hole Oceanographic Institution on Cape Cod will be an opportunity to learn about sea-going oceanography. Students will be doing a group video project and group in-class presentations. Scientific computation and visualization methods will be introduced (students may choose either Matlab or Python) and will be used for some homework assignments.","EPS 131 is also offered as ESE 131. Students may not take both for credit. This course fulfills the EPS sub-discipline requirement of Climate, Atmosphere, and Oceans. Given in alternate years.",Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Earth & Planetary Sciences,Lecture,N/A,FAS Letter Graded,N/A,N/A,Yes,Science & Engineering & Applied Science
Topics in Experimental Atomic and Condensed Matter Physics,PHYSICS  341A,Markus Greiner,2026 Spring,Full Term,2026-01-26,2026-04-29,,,,13801,111169,Instructor,0,0,False,False,False,False,False,False,False,Reading and research. Not a lecture or seminar course.,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Physics,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Systems and Synthetic Biology,BCMP  320,Pamela Silver,2026 Spring,Full Term,2026-01-26,2026-04-29,,,,10310,111833,No Consent,0,0,False,False,False,False,False,False,False,,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Medical Sciences,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Neurotransmitter Control of Ion Channels,NEUROBIO  372,Bruce Bean,2026 Spring,Full Term,2026-01-26,2026-04-29,,,,10126,112805,No Consent,0/9999,0,False,False,False,False,False,False,False,,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Medical Sciences,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Introductory Mechanics and Relativity,PHYSICS   15A,"Anna Klales, John Huth",2026 Spring,Full Term,2026-01-26,2026-04-29,12:00pm,1:15pm,Tue Thu,10891,111164,No Consent,0,0,False,False,True,False,True,False,False,"Physics 15a is an introduction to the topics of Newtonian mechanics and special relativity, but it is also an introduction to what it means to be a physicist—formulating theoretical models to describe the natural world and testing those models for consistency with data. Topics include: vectors; kinematics in three dimensions; Newton's laws; force, work, power; conservative forces, potential energy; momentum, collisions; rotational motion, angular momentum, torque; static equilibrium, simple harmonic motion, damped and driven oscillations; gravitation; fictitious forces; fluids; special relativity; experimental methods and tools including: basic programming, experimental design and data acquisition, model testing and error analysis; scientific communication.","Principles of Scientific Inquiry (PSI) is the laboratory component of Physics 15a. Topics include experimental design, model testing, error analysis, basic programming, and oral presentations. PSI will meet weekly throughout the semester.",Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Physics,Lecture,N/A,FAS Letter Graded,N/A,N/A,Yes,Science & Engineering & Applied Science
Industrial Organization II,ECON 2611,Myrto Kalouptsidi,2026 Spring,Full Term,2026-01-26,2026-04-29,12:00pm,2:45pm,Mon,11994,111407,Instructor,0/30,0,False,True,False,False,False,False,False,"A continuation of the graduate sequence in industrial organization, with an emphasis on the applied analysis of dynamic environments (including single agent optimization problems and the specification, estimation, and computation of dynamic games). Additional topics may include network industries, spatial equilibrium models, transportation markets, and others depending on interest. Note: topics require an understanding of materials covered in Economics 2610.",,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Economics,Lecture,N/A,FAS Letter Graded,N/A,N/A,N/A,Social Sciences
Immune control of HIV and implications for vaccine development,VIROLOGY  329,Bruce Walker,2026 Spring,Full Term,2026-01-26,2026-04-29,,,,10128,112807,No Consent,0,0,False,False,False,False,False,False,False,,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Medical Sciences,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Bacterial Pathogenesis and Vaccine Development,MICROBI  324,Gerald Pier,2026 Spring,Full Term,2026-01-26,2026-04-29,,,,10129,112811,No Consent,0/9999,0,False,False,False,False,False,False,False,,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Medical Sciences,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Reading and Research,COMPLIT  399,,2026 Spring,Dynamically Dated,None,None,,,,14553,112031,Instructor,0,0,False,False,False,False,False,False,False,Candidates for the doctoral degree in Comparative Literature may pursue advanced studies under the individual supervision of these instructors.,Permission of the instructor and the Chairman of the Department required.,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Comparative Literature,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Experimental Atomic Physics,PHYSICS  333A,Mara Prentiss,2026 Spring,Full Term,2026-01-26,2026-04-29,,,,13795,112040,Instructor,0,0,False,False,False,False,False,False,False,Reading and research. Not a lecture or seminar course.,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Physics,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
"Bioethics, Law, and the Life Sciences",HISTSCI 2953,Sheila Jasanoff,2026 Spring,Full Term,2026-01-26,2026-04-29,,,,17542,122616,Instructor,0/15,0,False,False,False,False,False,False,False,"Seeks to identify and explore salient ethical, legal, and policy issues - and possible solutions - associated with developments in biotechnology and the life sciences.",Undergraduates may enroll only by permission of the instructor and should email the instructor directly to explain their interest and background.  Offered jointly with the Kennedy School as IGA-515.,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,History of Science,Seminar,N/A,FAS Letter Graded,Anti-Req:  Cannot be taken for credit by students who have already taken IGA-515,N/A,N/A,Social Sciences
Organic and Organometallic Chemistry,CHEM  398,Richard Liu,2026 Spring,Full Term,2026-01-26,2026-04-29,,,,14028,122696,Instructor,0,0,False,False,False,False,False,False,False,,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Chemistry & Chemical Biology,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,Science & Engineering & Applied Science
Theoretical Chemistry,CHEM  386,Alan Aspuru-Guzik,2026 Spring,Full Term,2026-01-26,2026-04-29,,,,10522,122695,Instructor,0/9999,0,False,False,False,False,False,False,False,,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Chemistry & Chemical Biology,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Applied Condensed Matter Physics,APPHY  302,Donhee Ham,2026 Spring,Full Term,2026-01-26,2026-04-29,,,,12069,121977,Instructor,0/9999,0,False,False,False,False,False,False,False,,,Faculty of Arts & Sciences,4,Not Available for Cross Registration,Applied Physics,Thesis Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,Science & Engineering & Applied Science
Olfactory and Vomeronasal Systems Molecular and Developmental Neurobiology,NEUROBIO  349,Catherine Dulac,2026 Spring,Full Term,2026-01-26,2026-04-29,,,,10352,115980,No Consent,0/9999,0,False,False,False,False,False,False,False,,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Medical Sciences,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Drosophila Molecular Genetics,BCMP  337,Welcome Bender,2026 Spring,Full Term,2026-01-26,2026-04-29,,,,10663,122426,No Consent,0,0,False,False,False,False,False,False,False,,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Medical Sciences,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Laser Physics and Modern Optical Physics,PHYSICS  175,Mara Prentiss,2026 Spring,Full Term,2026-01-26,2026-04-29,1:30pm,2:45pm,Wed Fri,17176,121941,No Consent,0,0,False,False,False,True,False,True,False,"Introduction to laser physics and modern optical physics aimed at advanced undergraduates. Review of electromagnetic theory and relevant aspects of quantum mechanics. Wave nature of light. Physics of basic optical elements. Propagation of focused beams, optical resonators, dielectric waveguides. Interaction of light with matter, introduction to quantum optics. Lasers. Physics of specific laser systems. Introduction to nonlinear optics. Modern applications.",,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Physics,Lecture,N/A,FAS Letter Graded,N/A,N/A,N/A,Science & Engineering & Applied Science
Immunobiology of the Nervous System and its Tumors,NEUROBIO  361,Lois Lampson,2026 Spring,Full Term,2026-01-26,2026-04-29,,,,10358,116018,No Consent,0/9999,0,False,False,False,False,False,False,False,,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Medical Sciences,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Physiological Studies of Phototransduction and Light Adaptation,NEUROBIO  377,Clint Makino,2026 Spring,Full Term,2026-01-26,2026-04-29,,,,10359,116020,No Consent,0/9999,0,False,False,False,False,False,False,False,,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Medical Sciences,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
"Glutamate Transporters, Cell Death, Sleep/Wake Regulation",NEUROBIO  381,Paul Rosenberg,2026 Spring,Full Term,2026-01-26,2026-04-29,,,,10363,116025,No Consent,0/9999,0,False,False,False,False,False,False,False,,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Medical Sciences,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Molecular Biology of Signal Transduction,GENETIC  308,Brian Seed,2026 Spring,Full Term,2026-01-26,2026-04-29,,,,10321,116507,No Consent,0,0,False,False,False,False,False,False,False,,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Medical Sciences,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Neural Circuitry of Primate Visual Cortex,NEUROBIO  338,Richard Born,2026 Spring,Full Term,2026-01-26,2026-04-29,,,,10322,116539,No Consent,0,0,False,False,False,False,False,False,False,,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Medical Sciences,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Changes in Sensory Neurons that Contribute to Pain,NEUROBIO  386,Clifford Woolf,2026 Spring,Full Term,2026-01-26,2026-04-29,,,,10364,116029,No Consent,0/9999,0,False,False,False,False,False,False,False,,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Medical Sciences,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Elementary Arabic I,ARABIC     AA,,2026 Spring,Full Term,2026-01-26,2026-04-29,10:30am,11:45am,Mon Tue Wed Thu,13382,116746,Instructor,0/12,0,False,True,True,True,True,False,False,"Introduces students to the phonology and script of classical/modern standard Arabic and covers the basic morphology and syntax of the written language. Emphasis on the development of the four skills (reading, speaking, listening, and writing). Samples of modern (contemporary) and classical styles of writing introduced into basic syllabus, and audio-visual material from the contemporary Arabic media. Required textbooks: (1) Alif Baa (with multimedia), 3rd edition. (2) Al-Kitaab fii Ta'allum al-'Arabiyya:, Part I, 3rd edition.",Offered jointly with the Divinity School as 4345A.   Not open to auditors. Cannot be taken pass/fail.,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Near Eastern Languages & Civ,Lecture,N/A,FAS Letter Graded,N/A,N/A,N/A,None
Applied Photonics,PHYSICS  387A,Eric Mazur,2026 Spring,Full Term,2026-01-26,2026-04-29,,,,13829,116745,Instructor,0,0,False,False,False,False,False,False,False,Reading and research. Not a lecture or seminar course.,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Physics,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Molecular and Cellular Mechanisms of Insulin Action,BCMP  310,Morris White,2026 Spring,Full Term,2026-01-26,2026-04-29,,,,10697,113805,No Consent,0/9999,0,False,False,False,False,False,False,False,,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Medical Sciences,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Introduction to Literary Sinitic,CHNSE  106B,Matthew Wild,2026 Spring,Full Term,2026-01-26,2026-04-29,9:00am,10:15am,Mon Wed,10805,113249,No Consent,0,0,False,True,False,True,False,False,False,Introduction to pre-Qin philosophical texts.,"An additional lecture slot may be added if enough students enroll, with times to be arranged.",Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,East Asian Langs & Civ,Lecture,N/A,FAS Letter Graded,N/A,N/A,N/A,None
"Face numbers of polytopes, spheres and beyond",MATH  258Z,,2026 Spring,Full Term,2026-01-26,2026-04-29,10:30am,11:45am,Wed Fri,16025,113274,No Consent,0,0,False,False,False,True,False,True,False,"We will review f-vector theory, from classical results to recent developments, focusing on face numbers of polytopes, simplicial spheres and other manifolds. Tools used combine Combinatorics (e.g.  graph theory and shelling), Algebra (e.g. framework rigidity, Stanley-Reisner rings and anisotropy), Algebraic Geometry (e.g. toric varieties and hard Lefschetz), and PL-topology.",,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Mathematics,Lecture,N/A,FAS Letter Graded,N/A,N/A,N/A,N/A
Tutorial - Sophomore Year,HIST-LIT   97,Lauren Kaminsky,2026 Spring,Full Term,2026-01-26,2026-04-29,,,,17296,113717,Instructor,0,0,False,False,False,False,False,False,False,"History and Literature’s Sophomore Tutorial is a set of courses on different topics co-taught by faculty from different disciplines to immerse concentrators in the creative, rigorous, and rewarding work of interdisciplinary scholarship.",This is a required course for sophomore concentrators in History and Literature.,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,History & Literature,Tutorial,N/A,FAS Letter Graded,History and Literature Sophomore Concentrators Only,N/A,N/A,None
Cell Morphogenesis and Regulation,CELLBIO  339,Marc Kirschner,2026 Spring,Full Term,2026-01-26,2026-04-29,,,,10324,113489,No Consent,0,0,False,False,False,False,False,False,False,,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Medical Sciences,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
"Advanced Topics in Turkish Language, Literature, and Culture",TURKISH  130B,Meryem Demir,2026 Spring,Full Term,2026-01-26,2026-04-29,,,,11852,113853,No Consent,0,0,False,False,False,False,False,False,False,"Studies in literary and idiomatic prose through readings, discussions, and writing of short analytical papers. Course meeting times may be adjusted according to student availability.",Not open to auditors.,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Near Eastern Languages & Civ,Lecture,N/A,FAS Letter Graded,N/A,N/A,N/A,Arts and Humanities
Organic Chemistry,CHEM  318,George Whitesides,2026 Spring,Full Term,2026-01-26,2026-04-29,,,,10696,113803,Instructor,0/9999,0,False,False,False,False,False,False,False,,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Chemistry & Chemical Biology,Thesis Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Neocortical Development and Regeneration,NEUROBIO  367,Jeffrey Macklis,2026 Spring,Full Term,2026-01-26,2026-04-29,,,,10297,113770,No Consent,0,0,False,False,False,False,False,False,False,,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Medical Sciences,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Principles of Economics (Microeconomics),ECON   10A,Anne Le Brun,2026 Spring,Full Term,2026-01-26,2026-04-29,10:30am,11:45am,Tue Thu,12553,113326,Instructor,0/100,0,False,False,True,False,True,False,False,"Economists study human behavior using a combination of models and data. Ec10a introduces students to economic models using intuitive discussions, graphical analysis, and, in some cases, basic algebra. The models study individual decision-making and markets, and range from classical approaches like supply and demand to more recent approaches that consider informational limitations and behavioral mistakes. We will also use data to understand the strengths and weaknesses of these models. The course also discusses the role that ethics and values play in people's choices and in policy discussions, including an understanding and critique of approaches like utilitarianism, Rawlsian principles of justice, and libertarianism. The goal of the course is to provide students with a set of tools that will help them develop answers for themselves on how to make better choices and participate in debates on major public policy issues in areas including tax policy, inequality, discrimination and racial justice, and the environment.","Ec10a is the first half of an integrated sequence that continues with the study of macroeconomics in Ec10b. Students may elect to take only the microeconomics course and receive four credits. This sequence is designed with two types of students in mind. For students who will never take another economics course, Ec10a and Ec10b provide a self-contained training to prepare them to understand and engage with economic issues. For students who end up concentrating in economics, Ec10a and Ec10b provide a wide-ranging introduction to the field and are required courses. The Department of Economics strongly encourages students considering concentrating in economics to take these courses during their first year at the College. Ec10a and Ec10b are not duplicative of AP Economics courses but aim to provide a broader perspective and a deeper engagement with public policy and current developments in the field of economics (e.g., behavioral economics). Either Ec10a or Ec10b fulfills the Social Sciences divisional distribution requirement. It is not necessary for students to take both halves of Ec10 to fulfill this divisional requirement.",Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Economics,Lecture,N/A,FAS Letter Graded,N/A,N/A,N/A,Social Sciences
Doing Psychological Science,PSY 2580R,Daniel Gilbert,2026 Spring,Full Term,2026-01-26,2026-04-29,,,,13144,113780,Instructor,0,0,False,False,False,False,False,False,False,"Psychology 2580r is a hands-on course in which students participate in all aspects of the research process, from the design and execution of empirical research studies to the analysis of data. Each student works closely with a graduate student or post-doctoral mentor who supervises the student's daily activities. Students are admitted to PSY 2580r only by permission.","Open to students working on research in the instructor's laboratory.  To express interest in enrollment, please email the instructor, Prof. Daniel Gilbert, at gilbert@wjh.harvard.edu. Course enrollment information may be found at: http://www.danielgilbert.com/2580r.htm",Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Psychology,Laboratory Research,N/A,FAS Letter Graded,N/A,N/A,N/A,Social Sciences
Landmarks of World Architecture,HAA   11,Patricio del Real,2026 Spring,Full Term,2026-01-26,2026-04-29,12:00pm,1:15pm,Tue Thu,10212,113337,No Consent,0,0,False,False,True,False,True,False,False,"Examines major works of world architecture and the unique aesthetic, cultural, and historical issues that frame them. Faculty members will each lecture on an outstanding example in their area of expertise, drawing from various historical periods and diverse cultures across the world. Weekly discussion sections will develop thematically, expanding on the given examples to focus on significant issues in the analysis and interpretation of architecture.",,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,History of Art & Architecture,Lecture,N/A,FAS Letter Graded,N/A,N/A,N/A,Arts and Humanities
Supervised Reading and Research,FRENCH   91R,Annabel Kim,2026 Spring,Full Term,2026-01-26,2026-04-29,,,,12176,113533,No Consent,0/9999,0,False,False,False,False,False,False,False,Tutorial supervision of research on subjects not treated in regular courses.,"Limited to juniors and seniors. Students wishing to enroll must petition the Undergraduate Adviser in French for approval, stating the proposed project, and must have the consent of the proposed instructor. Ordinarily, students are required to have taken some coursework in the area as background for their project. May not be taken more than twice, and only once for concentration credit.  This course is taught by members of the Department.",Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Romance Languages & Lit,Tutorial,N/A,FAS Letter Graded,N/A,N/A,N/A,Arts and Humanities
Quantitative Methods in Economics,ECON 1126,Davide Viviano,2026 Spring,Full Term,2026-01-26,2026-04-29,12:00pm,1:15pm,Tue Thu,14575,113637,No Consent,0,0,False,False,True,False,True,False,False,Topics include conditional expectations and its linear approximation; best linear predictors; omitted variable bias; panel data methods and the role of unobserved heterogeneity; instrumental variables and the role of randomization; various approaches to inference on causal relations.,Only one course can count towards EC credit; either Economics 1123 or Economics 1126. Both courses can count towards college credit regardless of the order they are taken.  Students who fulfill the econometrics requirement with Economics 1126 and who intend to pursue Honors should note that the Honors exam assumes knowledge of the material covered in Economics 1123.,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Economics,Lecture,N/A,FAS Letter Graded,N/A,N/A,Yes,Social Sciences
Sophomore Tutorial in Archaeology,ANTHRO   97X,Amy Clark,2026 Spring,Full Term,2026-01-26,2026-04-29,9:00am,11:45am,Wed,10356,113567,Instructor,0/15,0,False,False,False,True,False,False,False,"This course will focus on archaeological thinking, the cognitive skeleton of the discipline of archaeology, the principles and the logic that are the foundation of all archaeological conclusions and research. Central to this is an understanding of research design, archaeological theory and interpretation, culture and material culture; as well as an understanding of how to examine and construct an archaeological argument.",,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Anthropology,Tutorial,N/A,FAS Letter Graded,N/A,N/A,N/A,Social Sciences
Graduate Reading in Several Complex Variables,MATH  327,Yum-Tong Siu,2026 Spring,Full Term,2026-01-26,2026-04-29,,,,12938,113647,Instructor,0,0,False,False,False,False,False,False,False,,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Mathematics,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,Prerequisite: Graduate Students Only,N/A,N/A,None
Organic Chemistry of Life,CHEM   27,"Brian Liau, Sirinya Matchacheep",2026 Spring,Full Term,2026-01-26,2026-04-29,12:00pm,1:15pm,Mon Wed Fri,10864,117558,No Consent,0,0,False,True,False,True,False,True,False,"Chemical principles that govern the processes driving living systems are illustrated with examples drawn from biochemistry, cell biology, and medicine. The course deals with organic chemical reactivity (reaction mechanisms, structure-reactivity relationships), with topics specifically relevant to the life sciences (chemistry of enzymes, nucleic acids, drugs, natural products, cofactors), and with applications of chemical biology to medicine and biotechnology. An understanding of organic reactions and their ""arrow-pushing” mechanisms is required.","Students who completed Chem S-17 in Summer 2023 or before have the option to be exempted from the lab component of Chem 27. Similarly, students who have completed both Chem 20 and Chem 30 may be exempted. If students choose to be lab exempt, exams will make up a greater percentage of their final grade. The course syllabus describes the grading scheme in greater detail.",Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Chemistry & Chemical Biology,Lecture,N/A,FAS Letter Graded,N/A,N/A,N/A,Science & Engineering & Applied Science
Graduate Student Workshop in Industrial Organization,ECON 3009,"Ariel Pakes, Robin Lee, Myrto Kalouptsidi",2026 Spring,Full Term,2026-01-26,2026-04-29,1:30pm,2:45pm,Wed,11986,117566,Instructor,0,0,False,False,False,True,False,False,False,Participants present their own research in progress in an informal setting. Open to doctoral students in economics who have passed their general examinations and are in the early stages of their dissertations.,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Economics,Seminar,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Cardiovascular Signal Transduction,CELLBIO  311,Thomas Michel,2026 Spring,Full Term,2026-01-26,2026-04-29,,,,10433,117256,No Consent,0/9999,0,False,False,False,False,False,False,False,,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Medical Sciences,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
